,Album ID,Title,Date Created,Date Created In Library,Visible,Catalog Identifiers - Album,Favorite Album - Status,Favorite Album - Date
96,l.2uPcuKw,Stay A While - Single,2021-06-10T01:50:15Z,2021-06-10T01:50:13Z,True,1726950207,,
98,l.2wXST81,King Talk - Single,2023-06-01T18:52:50Z,2023-06-01T18:52:50Z,True,1717408432,,
103,l.36g8Yy,RAP DEVIL - Single,2022-10-01T13:12:50Z,2022-10-01T13:12:50Z,True,1435631217,,
106,l.38dmA5e,Just Feels Tight - Single,2023-12-22T07:23:50Z,2023-12-22T07:23:50Z,False,,,
108,l.39gMiEu,By the Sword - Single,2023-08-04T01:29:15Z,2023-08-04T01:29:15Z,True,1611714349,,
113,l.3UG8vVp,Higher Power (Tiësto Remix) - Single,2021-07-22T23:32:41Z,2021-07-22T23:32:41Z,True,1568762004,,
114,l.3XmpNL9,Pagol - Perfectly (Slowed & Reverb) - Single,2023-06-16T05:38:51Z,2023-06-16T05:38:51Z,True,1691407207,,
115,l.3aNaqAz,Major Lazer - Single,2023-07-06T07:31:57Z,2023-07-06T07:31:57Z,True,1673462480,,
117,l.3lMrTDh,Gotta Go - Single,2023-06-23T18:57:02Z,2023-06-23T18:57:02Z,True,1676863968,,
118,l.3lkkTW1,Mahiye Jinna Sohna - Single,2025-04-10T01:54:36Z,2025-04-10T01:54:36Z,True,1693223950,,
119,l.3pKT5ib,Gold Dust / The Field - Single,2024-07-22T02:18:20Z,2024-07-22T02:18:20Z,False,1528760318,,
126,l.4DzLL2n,Tell Me Why (1991 Remix) - Single,2024-07-22T02:18:17Z,2024-07-22T02:18:17Z,False,1671217393,,
128,l.4PKMmD1,Wait For You - Single,2023-02-21T08:59:09Z,2023-02-21T08:59:09Z,False,,,
130,l.4QKSAxm,Pull Up - Single,2024-10-25T18:27:11Z,2024-10-25T18:27:11Z,True,1744191574,,
132,l.4TYSzoi,Precision - Single,2024-03-23T14:37:22Z,2024-03-23T14:37:22Z,True,1735620916,,
133,l.4U1yBBw,Versace (feat. Drake) [Remix] - Single,2022-11-29T21:29:32Z,2022-11-29T21:29:32Z,False,,,
134,l.4YF8Im9,hold my hand - Single,2024-10-25T18:17:27Z,2024-10-25T18:17:27Z,True,1770157436,,
137,l.4cvnGEx,Street Sweeper - Single,2023-10-17T09:10:01Z,2023-10-17T09:10:01Z,True,1804991831,,
140,l.4kSGF1g,Kai Po Che (Original Motion Picture Soundtrack) - Single,2022-10-01T09:55:29Z,2022-10-01T09:55:29Z,False,598527948,,
